"index","longitude","latitude"
368997,46.330278,42.620763
368998,46.396161,42.576303
913802,47.498466,42.97657
913803,47.507485,42.958336
913804,47.417608,42.968205
913805,47.477634,42.977566
916316,47.509578,42.957465
916317,47.421678,42.967189
916535,47.510943,42.974584
916536,47.497082,42.982137
916537,47.458508,42.980085
917899,47.608015,42.903798
917900,47.624957,42.905304
917901,47.613324,42.90673
917902,47.50832,42.94556
917903,47.518579,42.968449
917904,47.470941,42.982143
917905,47.501933,42.96234
917906,47.572289,42.944095
917907,47.526592,42.973371
917908,47.511868,42.978845
917909,47.491989,42.991607
917910,47.512928,42.976748
917917,47.622487,42.888013
918406,47.449444,42.978931
918493,47.633067,42.891274
918494,47.458005,42.983772
944500,47.4978,42.9655
944501,47.499373,42.980844
944502,47.509003,42.98062
944503,47.504278,42.978331
944507,47.514051,42.980066
944508,47.513953,42.968694
944509,47.504278,42.978331
